"","PROVINCIA","Ubigeo","habitantes","IDH","esperanza","secundaria","educa","percapitaf","IDE","identidad","salud","educacion","saneamiento","electrificacion","poblacion","costa","capital","tamano","fecundidad","desnutricion","densidadpob","mortalidadinf","analfabetismo","analfabetismo_urb","analfabetismo_rural","analfabetismo_h","analfabetismo_m","pob","pob_ur","pob_rural","pob_h","pob_m","Voto_PPK","Voto_FP"
"97","ICA","110100",321332,0.441716171089578,75.91,75.4660252989619,10.7818748842469,397.393089058153,0.845,99.5035,30.0232,87.7433,94.266,90.9563,349036,"SI","SI",4,"2.04","11.92409",40.7,10.8,2.4,2.16,4.9,1.22,3.49,321332,293950,27382,157232,164100,108600,112346
"98","ILO","180300",63780,0.48131326266048,74.44,81.9070096742736,11.0775015618052,490.975299632482,0.8504,99.5,21.2476,91.3031,99.5,99.5,68694,"SI","NO",2,"2.05","2.1439818",46.19,14.7,1.98,2,0.15,0.74,3.24,63780,63068,712,32332,31448,30825,15916
"99","ISLAY","040700",52264,0.430744359940025,72.25,81.0441500950065,9.80680617667471,405.065703819152,0.8179,98.504,18.6627,94.2023,92.6318,92.52,53047,"SI","NO",2,"2.42","13.074024",13.45,21.2,4.12,4,5.28,1.82,6.59,52264,47402,4862,26846,25418,23049,10594
"100","JAEN","060800",183634,0.310631496712053,72.46,47.2382514323637,6.55036552583587,269.969048945118,0.6372,95.813,10.8123,83.2315,44.7478,76.7748,198354,"NO","NO",3,"2.75","42.28635",35.09,20.5,11.83,6.28,18.12,7.25,16.63,183634,91910,91724,94094,89540,53416,43856
"101","JAUJA","120400",92053,0.33113300584047,70.85,66.5563010164793,8.21066670594139,248.665415980269,0.7053,98.0137,10.3796,90.8331,55.8857,90.6086,88524,"NO","NO",2,"2.53","28.907721",24.55,25.8,7.4,6.25,10.26,2.11,12.05,92053,63941,28112,44311,47742,24624,25113
"102","JORGE BASADRE","230300",9872,0.432917910371383,73.15,66.9400406643492,10.4335130464022,425.65730932731,0.8487,99.5,30.0799,97.3276,83.9754,93.4183,9641,"SI","NO",1,"2.71","5.6696296",3.37,18.3,3.82,2.35,6.39,1.65,7.43,9872,6202,3670,5920,3952,5110,2664
"103","JULCAN","130500",32985,0.195177712722139,70.67,23.1849714592702,4.24311451274153,155.558215979707,0.5272,97.7276,9.0297,60.0022,54.2229,36.6195,32400,"NO","NO",1,"3.98","54.25065",29.95,26.4,17.39,13.04,18.21,7.67,26.99,32985,4886,28099,16509,16476,6483,9723
"104","JUNIN","120500",30187,0.307734776963551,69.52,65.3281412281171,7.19704994068802,229.293627510146,0.6267,98.9176,12.5177,88.0828,23.2858,82.1882,27722,"NO","NO",1,"2.46","24.092742",12.79,30.6,13.11,10.6,19.09,5.53,19.88,30187,21215,8972,14594,15593,6350,6219
"105","LA CONVENCION","080900",166833,0.272757466448034,73.22,38.9888634343979,6.55694213118539,207.21892013886,0.6069,96.3227,9.2718,84.7681,40.9197,66.0037,179515,"NO","NO",3,"3.83","31.936549",5.55,18.1,13.65,6.74,16.76,8.25,19.94,166833,49892,116941,88181,78652,40835,43930
"106","LA MAR","050500",84177,0.193867012096038,71.74,22.789346951255,4.3566375,148.824269422972,0.4946,98.2364,5.9239,61.5692,30.5293,47.0695,87160,"NO","NO",2,"3.28","42.306407",19.17,22.9,24.06,19.03,27.75,13.88,34.91,84177,34385,49792,43439,40738,8599,16867
"107","LA UNION","040800",15662,0.250336888774295,71.07,32.9674878443493,5.98727894210329,196.532461613921,0.6325,96.7653,19.7837,71.4648,61.8834,53.1603,15164,"NO","NO",1,"4.09","12.601857",3.3,25.1,20.78,15.05,26.26,8.58,32.63,15662,7550,8112,7814,7848,3065,2682
